full_name,filename,contract,abi,bytecode
2112.sol:ERC20Token,2112,2112,"[{'inputs': [{'internalType': 'address', 'name': 'account', 'type': 'address'}], 'name': 'balanceOf', 'outputs': [{'internalType': 'uint256', 'name': '', 'type': 'uint256'}], 'stateMutability': 'view', 'type': 'function'}, {'inputs': [{'internalType': 'address', 'name': 'recipient', 'type': 'address'}, {'internalType': 'uint256', 'name': 'amount', 'type': 'uint256'}], 'name': 'transfer', 'outputs': [{'internalType': 'bool', 'name': '', 'type': 'bool'}], 'stateMutability': 'nonpayable', 'type': 'function'}]",
2112.sol:TokenClaimer,2112,2112,"[{'inputs': [], 'stateMutability': 'nonpayable', 'type': 'constructor'}, {'inputs': [{'internalType': 'address', 'name': 'owner', 'type': 'address'}], 'name': 'OwnableInvalidOwner', 'type': 'error'}, {'inputs': [{'internalType': 'address', 'name': 'account', 'type': 'address'}], 'name': 'OwnableUnauthorizedAccount', 'type': 'error'}, {'anonymous': False, 'inputs': [{'indexed': True, 'internalType': 'address', 'name': 'token', 'type': 'address'}, {'indexed': True, 'internalType': 'address', 'name': 'receiver', 'type': 'address'}, {'indexed': False, 'internalType': 'uint256', 'name': 'amount', 'type': 'uint256'}], 'name': 'ClaimedTokens', 'type': 'event'}, {'anonymous': False, 'inputs': [{'indexed': True, 'internalType': 'address', 'name': 'previousOwner', 'type': 'address'}, {'indexed': True, 'internalType': 'address', 'name': 'newOwner', 'type': 'address'}], 'name': 'OwnershipTransferred', 'type': 'event'}, {'inputs': [{'internalType': 'address', 'name': '', 'type': 'address'}], 'name': 'balanceOf', 'outputs': [{'internalType': 'uint256', 'name': '', 'type': 'uint256'}], 'stateMutability': 'view', 'type': 'function'}, {'inputs': [{'internalType': 'address', 'name': '_token', 'type': 'address'}], 'name': 'claimTokens', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}, {'inputs': [], 'name': 'owner', 'outputs': [{'internalType': 'address', 'name': '', 'type': 'address'}], 'stateMutability': 'view', 'type': 'function'}, {'inputs': [], 'name': 'renounceOwnership', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}, {'inputs': [], 'name': 'totalSupply', 'outputs': [{'internalType': 'uint256', 'name': '', 'type': 'uint256'}], 'stateMutability': 'view', 'type': 'function'}, {'inputs': [{'internalType': 'address', 'name': 'newOwner', 'type': 'address'}], 'name': 'transferOwnership', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}]",608060405234801561000f575f5ffd5b50335f73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff1603610081575f6040517f1e4fbdf700000000000000000000000000000000000000000000000000000000815260040161007891906101e9565b60405180910390fd5b610090816100e960201b60201c565b506103e860015f3373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020015f2081905550670de0b6b3a7640000600281905550610202565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff169050815f5f6101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055508173ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a35050565b5f73ffffffffffffffffffffffffffffffffffffffff82169050919050565b5f6101d3826101aa565b9050919050565b6101e3816101c9565b82525050565b5f6020820190506101fc5f8301846101da565b92915050565b6107e38061020f5f395ff3fe608060405234801561000f575f5ffd5b5060043610610060575f3560e01c806318160ddd1461006457806370a0823114610082578063715018a6146100b25780638da5cb5b146100bc578063df8de3e7146100da578063f2fde38b146100f6575b5f5ffd5b61006c610112565b604051610079919061058f565b60405180910390f35b61009c60048036038101906100979190610606565b610118565b6040516100a9919061058f565b60405180910390f35b6100ba61012d565b005b6100c4610140565b6040516100d19190610640565b60405180910390f35b6100f460048036038101906100ef9190610606565b610167565b005b610110600480360381019061010b9190610606565b6103a4565b005b60025481565b6001602052805f5260405f205f915090505481565b610135610428565b61013e5f6104af565b565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff16905090565b61016f610428565b5f73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff16036101f2576101aa610140565b73ffffffffffffffffffffffffffffffffffffffff166108fc4790811502906040515f60405180830381858888f193505050501580156101ec573d5f5f3e3d5ffd5b506103a1565b5f8190505f8173ffffffffffffffffffffffffffffffffffffffff166370a08231306040518263ffffffff1660e01b81526004016102309190610640565b602060405180830381865afa15801561024b573d5f5f3e3d5ffd5b505050506040513d601f19601f8201168201806040525081019061026f9190610683565b90508173ffffffffffffffffffffffffffffffffffffffff1663a9059cbb610295610140565b836040518363ffffffff1660e01b81526004016102b39291906106ae565b6020604051808303815f875af11580156102cf573d5f5f3e3d5ffd5b505050506040513d601f19601f820116820180604052508101906102f3919061070a565b610332576040517f08c379a00000000000000000000000000000000000000000000000000000000081526004016103299061078f565b60405180910390fd5b61033a610140565b73ffffffffffffffffffffffffffffffffffffffff168373ffffffffffffffffffffffffffffffffffffffff167ff931edb47c50b4b4104c187b5814a9aef5f709e17e2ecf9617e860cacade929c83604051610396919061058f565b60405180910390a350505b50565b6103ac610428565b5f73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff160361041c575f6040517f1e4fbdf70000000000000000000000000000000000000000000000000000000081526004016104139190610640565b60405180910390fd5b610425816104af565b50565b610430610570565b73ffffffffffffffffffffffffffffffffffffffff1661044e610140565b73ffffffffffffffffffffffffffffffffffffffff16146104ad57610471610570565b6040517f118cdaa70000000000000000000000000000000000000000000000000000000081526004016104a49190610640565b60405180910390fd5b565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff169050815f5f6101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055508173ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a35050565b5f33905090565b5f819050919050565b61058981610577565b82525050565b5f6020820190506105a25f830184610580565b92915050565b5f5ffd5b5f73ffffffffffffffffffffffffffffffffffffffff82169050919050565b5f6105d5826105ac565b9050919050565b6105e5816105cb565b81146105ef575f5ffd5b50565b5f81359050610600816105dc565b92915050565b5f6020828403121561061b5761061a6105a8565b5b5f610628848285016105f2565b91505092915050565b61063a816105cb565b82525050565b5f6020820190506106535f830184610631565b92915050565b61066281610577565b811461066c575f5ffd5b50565b5f8151905061067d81610659565b92915050565b5f60208284031215610698576106976105a8565b5b5f6106a58482850161066f565b91505092915050565b5f6040820190506106c15f830185610631565b6106ce6020830184610580565b9392505050565b5f8115159050919050565b6106e9816106d5565b81146106f3575f5ffd5b50565b5f81519050610704816106e0565b92915050565b5f6020828403121561071f5761071e6105a8565b5b5f61072c848285016106f6565b91505092915050565b5f82825260208201905092915050565b7f5472616e73666572206661696c656400000000000000000000000000000000005f82015250565b5f610779600f83610735565b915061078482610745565b602082019050919050565b5f6020820190508181035f8301526107a68161076d565b905091905056fea2646970667358221220732336e346120bcb957d8062df9feaea423b77d993c4ad517fa860b70dd1c0e264736f6c634300081e0033
node_modules/@openzeppelin/contracts/access/Ownable.sol:Ownable,2112,2112,"[{'inputs': [{'internalType': 'address', 'name': 'owner', 'type': 'address'}], 'name': 'OwnableInvalidOwner', 'type': 'error'}, {'inputs': [{'internalType': 'address', 'name': 'account', 'type': 'address'}], 'name': 'OwnableUnauthorizedAccount', 'type': 'error'}, {'anonymous': False, 'inputs': [{'indexed': True, 'internalType': 'address', 'name': 'previousOwner', 'type': 'address'}, {'indexed': True, 'internalType': 'address', 'name': 'newOwner', 'type': 'address'}], 'name': 'OwnershipTransferred', 'type': 'event'}, {'inputs': [], 'name': 'owner', 'outputs': [{'internalType': 'address', 'name': '', 'type': 'address'}], 'stateMutability': 'view', 'type': 'function'}, {'inputs': [], 'name': 'renounceOwnership', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}, {'inputs': [{'internalType': 'address', 'name': 'newOwner', 'type': 'address'}], 'name': 'transferOwnership', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}]",
node_modules/@openzeppelin/contracts/utils/Context.sol:Context,2112,2112,[],
openzeppelin/SafeMath.sol:SafeMath,2112,2112,[],6055604b600b8282823980515f1a607314603f577f4e487b71000000000000000000000000000000000000000000000000000000005f525f60045260245ffd5b305f52607381538281f3fe730000000000000000000000000000000000000000301460806040525f5ffdfea26469706673582212200ff358ae59ec58298d58fe689d558baadad96ce06237a937c6a44ca279e6a33c64736f6c634300081e0033
5609.sol:YourContract,5609,5609,"[{'inputs': [], 'stateMutability': 'nonpayable', 'type': 'constructor'}, {'inputs': [{'internalType': 'address', 'name': 'owner', 'type': 'address'}], 'name': 'OwnableInvalidOwner', 'type': 'error'}, {'inputs': [{'internalType': 'address', 'name': 'account', 'type': 'address'}], 'name': 'OwnableUnauthorizedAccount', 'type': 'error'}, {'anonymous': False, 'inputs': [{'indexed': True, 'internalType': 'address', 'name': 'previousOwner', 'type': 'address'}, {'indexed': True, 'internalType': 'address', 'name': 'newOwner', 'type': 'address'}], 'name': 'OwnershipTransferred', 'type': 'event'}, {'inputs': [{'internalType': 'address', 'name': 'target', 'type': 'address'}, {'internalType': 'bool', 'name': 'isRegistered', 'type': 'bool'}], 'name': 'changeRegistrationStatus', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}, {'inputs': [{'internalType': 'address[]', 'name': 'targets', 'type': 'address[]'}, {'internalType': 'bool', 'name': 'isRegistered', 'type': 'bool'}], 'name': 'changeRegistrationStatuses', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}, {'inputs': [], 'name': 'owner', 'outputs': [{'internalType': 'address', 'name': '', 'type': 'address'}], 'stateMutability': 'view', 'type': 'function'}, {'inputs': [], 'name': 'renounceOwnership', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}, {'inputs': [{'internalType': 'address', 'name': 'newOwner', 'type': 'address'}], 'name': 'transferOwnership', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}]",608060405234801561000f575f5ffd5b50335f73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff1603610081575f6040517f1e4fbdf70000000000000000000000000000000000000000000000000000000081526004016100789190610196565b60405180910390fd5b6100908161009660201b60201c565b506101af565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff169050815f5f6101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055508173ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a35050565b5f73ffffffffffffffffffffffffffffffffffffffff82169050919050565b5f61018082610157565b9050919050565b61019081610176565b82525050565b5f6020820190506101a95f830184610187565b92915050565b610678806101bc5f395ff3fe608060405234801561000f575f5ffd5b5060043610610055575f3560e01c8063715018a6146100595780637b9358a0146100635780638da5cb5b1461007f578063f24d25321461009d578063f2fde38b146100b9575b5f5ffd5b6100616100d5565b005b61007d6004803603810190610078919061052a565b6100e8565b005b610087610134565b6040516100949190610593565b60405180910390f35b6100b760048036038101906100b291906105ac565b61015b565b005b6100d360048036038101906100ce91906105ea565b610167565b005b6100dd6101eb565b6100e65f610272565b565b6100f06101eb565b5f5f90505b825181101561012f5761012283828151811061011457610113610615565b5b60200260200101518361015b565b80806001019150506100f5565b505050565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff16905090565b6101636101eb565b5050565b61016f6101eb565b5f73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff16036101df575f6040517f1e4fbdf70000000000000000000000000000000000000000000000000000000081526004016101d69190610593565b60405180910390fd5b6101e881610272565b50565b6101f3610333565b73ffffffffffffffffffffffffffffffffffffffff16610211610134565b73ffffffffffffffffffffffffffffffffffffffff161461027057610234610333565b6040517f118cdaa70000000000000000000000000000000000000000000000000000000081526004016102679190610593565b60405180910390fd5b565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff169050815f5f6101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055508173ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a35050565b5f33905090565b5f604051905090565b5f5ffd5b5f5ffd5b5f5ffd5b5f601f19601f8301169050919050565b7f4e487b71000000000000000000000000000000000000000000000000000000005f52604160045260245ffd5b6103958261034f565b810181811067ffffffffffffffff821117156103b4576103b361035f565b5b80604052505050565b5f6103c661033a565b90506103d2828261038c565b919050565b5f67ffffffffffffffff8211156103f1576103f061035f565b5b602082029050602081019050919050565b5f5ffd5b5f73ffffffffffffffffffffffffffffffffffffffff82169050919050565b5f61042f82610406565b9050919050565b61043f81610425565b8114610449575f5ffd5b50565b5f8135905061045a81610436565b92915050565b5f61047261046d846103d7565b6103bd565b9050808382526020820190506020840283018581111561049557610494610402565b5b835b818110156104be57806104aa888261044c565b845260208401935050602081019050610497565b5050509392505050565b5f82601f8301126104dc576104db61034b565b5b81356104ec848260208601610460565b91505092915050565b5f8115159050919050565b610509816104f5565b8114610513575f5ffd5b50565b5f8135905061052481610500565b92915050565b5f5f604083850312156105405761053f610343565b5b5f83013567ffffffffffffffff81111561055d5761055c610347565b5b610569858286016104c8565b925050602061057a85828601610516565b9150509250929050565b61058d81610425565b82525050565b5f6020820190506105a65f830184610584565b92915050565b5f5f604083850312156105c2576105c1610343565b5b5f6105cf8582860161044c565b92505060206105e085828601610516565b9150509250929050565b5f602082840312156105ff576105fe610343565b5b5f61060c8482850161044c565b91505092915050565b7f4e487b71000000000000000000000000000000000000000000000000000000005f52603260045260245ffdfea2646970667358221220bd19e09776e4073f3ccf2a9378432ac21e04f4236bcdc79d89ab1e846a48a77964736f6c634300081e0033
node_modules/@openzeppelin/contracts/access/Ownable.sol:Ownable,5609,5609,"[{'inputs': [{'internalType': 'address', 'name': 'owner', 'type': 'address'}], 'name': 'OwnableInvalidOwner', 'type': 'error'}, {'inputs': [{'internalType': 'address', 'name': 'account', 'type': 'address'}], 'name': 'OwnableUnauthorizedAccount', 'type': 'error'}, {'anonymous': False, 'inputs': [{'indexed': True, 'internalType': 'address', 'name': 'previousOwner', 'type': 'address'}, {'indexed': True, 'internalType': 'address', 'name': 'newOwner', 'type': 'address'}], 'name': 'OwnershipTransferred', 'type': 'event'}, {'inputs': [], 'name': 'owner', 'outputs': [{'internalType': 'address', 'name': '', 'type': 'address'}], 'stateMutability': 'view', 'type': 'function'}, {'inputs': [], 'name': 'renounceOwnership', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}, {'inputs': [{'internalType': 'address', 'name': 'newOwner', 'type': 'address'}], 'name': 'transferOwnership', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}]",
node_modules/@openzeppelin/contracts/utils/Context.sol:Context,5609,5609,[],
openzeppelin/SafeMath.sol:SafeMath,5609,5609,[],6055604b600b8282823980515f1a607314603f577f4e487b71000000000000000000000000000000000000000000000000000000005f525f60045260245ffd5b305f52607381538281f3fe730000000000000000000000000000000000000000301460806040525f5ffdfea26469706673582212200ff358ae59ec58298d58fe689d558baadad96ce06237a937c6a44ca279e6a33c64736f6c634300081e0033
565.sol:Whitelist,565,565,"[{'inputs': [], 'stateMutability': 'nonpayable', 'type': 'constructor'}, {'inputs': [{'internalType': 'address', 'name': 'owner', 'type': 'address'}], 'name': 'OwnableInvalidOwner', 'type': 'error'}, {'inputs': [{'internalType': 'address', 'name': 'account', 'type': 'address'}], 'name': 'OwnableUnauthorizedAccount', 'type': 'error'}, {'anonymous': False, 'inputs': [{'indexed': True, 'internalType': 'address', 'name': 'previousOwner', 'type': 'address'}, {'indexed': True, 'internalType': 'address', 'name': 'newOwner', 'type': 'address'}], 'name': 'OwnershipTransferred', 'type': 'event'}, {'anonymous': False, 'inputs': [{'indexed': True, 'internalType': 'address', 'name': 'user', 'type': 'address'}], 'name': 'WhitelistRemoved', 'type': 'event'}, {'inputs': [], 'name': 'owner', 'outputs': [{'internalType': 'address', 'name': '', 'type': 'address'}], 'stateMutability': 'view', 'type': 'function'}, {'inputs': [{'internalType': 'address[]', 'name': '_users', 'type': 'address[]'}], 'name': 'removeAddressesFromWhitelist', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}, {'inputs': [], 'name': 'renounceOwnership', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}, {'inputs': [{'internalType': 'address', 'name': 'newOwner', 'type': 'address'}], 'name': 'transferOwnership', 'outputs': [], 'stateMutability': 'nonpayable', 'type': 'function'}, {'inputs': [{'internalType': 'address', 'name': '', 'type': 'address'}], 'name': 'whitelist', 'outputs': [{'internalType': 'bool', 'name': '', 'type': 'bool'}], 'stateMutability': 'view', 'type': 'function'}]",608060405234801561000f575f5ffd5b50335f73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff1603610081575f6040517f1e4fbdf70000000000000000000000000000000000000000000000000000000081526004016100789190610196565b60405180910390fd5b6100908161009660201b60201c565b506101af565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff169050815f5f6101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055508173ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a35050565b5f73ffffffffffffffffffffffffffffffffffffffff82169050919050565b5f61018082610157565b9050919050565b61019081610176565b82525050565b5f6020820190506101a95f830184610187565b92915050565b61080a806101bc5f395ff3fe608060405234801561000f575f5ffd5b5060043610610055575f3560e01c806324953eaa14610059578063715018a6146100755780638da5cb5b1461007f5780639b19251a1461009d578063f2fde38b146100cd575b5f5ffd5b610073600480360381019061006e919061063c565b6100e9565b005b61007d610257565b005b61008761026a565b6040516100949190610692565b60405180910390f35b6100b760048036038101906100b291906106ab565b610291565b6040516100c491906106f0565b60405180910390f35b6100e760048036038101906100e291906106ab565b6102ae565b005b6100f1610332565b5f815111610134576040517f08c379a000000000000000000000000000000000000000000000000000000000815260040161012b90610789565b60405180910390fd5b5f5f90505b8151811015610253575f828281518110610156576101556107a7565b5b6020026020010151905060015f8273ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020015f205f9054906101000a900460ff1615610247575f60015f8373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020015f205f6101000a81548160ff0219169083151502179055508073ffffffffffffffffffffffffffffffffffffffff167fde8cf212af7ce38b2840785a2768d97ff2dbf3c21b516961cec0061e134c2a1e60405160405180910390a25b50806001019050610139565b5050565b61025f610332565b6102685f6103b9565b565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff16905090565b6001602052805f5260405f205f915054906101000a900460ff1681565b6102b6610332565b5f73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff1603610326575f6040517f1e4fbdf700000000000000000000000000000000000000000000000000000000815260040161031d9190610692565b60405180910390fd5b61032f816103b9565b50565b61033a61047a565b73ffffffffffffffffffffffffffffffffffffffff1661035861026a565b73ffffffffffffffffffffffffffffffffffffffff16146103b75761037b61047a565b6040517f118cdaa70000000000000000000000000000000000000000000000000000000081526004016103ae9190610692565b60405180910390fd5b565b5f5f5f9054906101000a900473ffffffffffffffffffffffffffffffffffffffff169050815f5f6101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055508173ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a35050565b5f33905090565b5f604051905090565b5f5ffd5b5f5ffd5b5f5ffd5b5f601f19601f8301169050919050565b7f4e487b71000000000000000000000000000000000000000000000000000000005f52604160045260245ffd5b6104dc82610496565b810181811067ffffffffffffffff821117156104fb576104fa6104a6565b5b80604052505050565b5f61050d610481565b905061051982826104d3565b919050565b5f67ffffffffffffffff821115610538576105376104a6565b5b602082029050602081019050919050565b5f5ffd5b5f73ffffffffffffffffffffffffffffffffffffffff82169050919050565b5f6105768261054d565b9050919050565b6105868161056c565b8114610590575f5ffd5b50565b5f813590506105a18161057d565b92915050565b5f6105b96105b48461051e565b610504565b905080838252602082019050602084028301858111156105dc576105db610549565b5b835b8181101561060557806105f18882610593565b8452602084019350506020810190506105de565b5050509392505050565b5f82601f83011261062357610622610492565b5b81356106338482602086016105a7565b91505092915050565b5f602082840312156106515761065061048a565b5b5f82013567ffffffffffffffff81111561066e5761066d61048e565b5b61067a8482850161060f565b91505092915050565b61068c8161056c565b82525050565b5f6020820190506106a55f830184610683565b92915050565b5f602082840312156106c0576106bf61048a565b5b5f6106cd84828501610593565b91505092915050565b5f8115159050919050565b6106ea816106d6565b82525050565b5f6020820190506107035f8301846106e1565b92915050565b5f82825260208201905092915050565b7f43616e6e6f742072656d6f766520616e20656d707479206c69737420746f20775f8201527f686974656c697374210000000000000000000000000000000000000000000000602082015250565b5f610773602983610709565b915061077e82610719565b604082019050919050565b5f6020820190508181035f8301526107a081610767565b9050919050565b7f4e487b71000000000000000000000000000000000000000000000000000000005f52603260045260245ffdfea2646970667358221220d318d7cb2a7d37e129e6b5560fc2fa3c8e7a4a24f777b598eb39e69f08de365f64736f6c634300081e0033
